feature,importance_mean,importance_std
leading_c2_beta_0p2,0.38698295536000005,0.0009527153175802698
subleading_c2_beta_0p2,0.33005979808,0.0017198618465362207
leading_jet_theta,0.30032828592000005,0.001954640029298341
subleading_jet_theta,0.29606718352000005,0.002222454655666706
leading_jet_pt,0.11887066512000002,0.001317260416953796
leading_e3_beta_0p2,0.07153577312000003,0.0007952755556656522
leading_jet_mass,0.05652900656000006,0.0007329118635145308
subleading_e2_beta_0p2,0.04770852608000002,0.0009008410776722121
subleading_jet_pt,0.045239720640000036,0.0006573907454212256
subleading_e3_beta_0p2,0.042067188320000025,0.0011996460072590223
leading_e2_beta_0p2,0.03901225264000006,0.00034329122930478004
leading_jet_energy,0.033912735840000006,0.00043100189366924313
subleading_jet_mass,0.028736188800000083,0.0006086574843657003
subleading_jet_p,0.02442587984000013,0.00034026402801301775
leading_d2_beta_0p2,0.024207992640000044,0.0003539922938603244
leading_jet_p,0.015785999680000006,0.0003960478780865997
subleading_jet_energy,0.012696931040000048,0.00020441477782940926
event_invariant_mass,0.010892134720000035,0.0006235446684583196
n_jets_original,0.009204027359999967,0.00016652654024983628
leading_constituent_multiplicity,0.007867051520000001,0.0003033364229709379
subleading_constituent_multiplicity,0.005783629280000047,0.00030199907059674574
subleading_d2_beta_0p2,0.0029294689600000146,0.00033343589171456914
