threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01,asimov_z_bkg_syst_0.05,asimov_z_bkg_syst_0.1
0.0,682.5695760001637,1186262829.1693516,1.0000000000002398,1.0000000000022633,392044.9999987882,5.753948949729079e-07,0.019817844838867952,0.005529034847351704,5.753923593874143e-05,0.0003369528310483493,5.753947603607738e-06
0.0005,682.5289640001637,853850830.8360859,0.9999405013038022,0.7197821678657034,282187.0000014368,7.99353867620923e-07,0.023357697273361837,0.0075633190950825215,0.0006055463156115974,1.5987069347946078e-05,0.00038197383411165054
0.001,682.5105040001637,817867620.8356134,0.9999134564417851,0.6894489153050122,270295.00000140636,8.344999687147957e-07,0.023865348015897788,0.007862365483960042,8.344946349532904e-05,0.0005808292596285814,0.00041842686282478526
0.0015,682.4883520001637,794154165.0019686,0.9998810026073646,0.6694588631423704,262458.0000013863,8.593902570522587e-07,0.024218250807081964,0.008100365905896087,0.00025292719102931255,1.718779588879283e-05,8.593899567612782e-06
0.002,682.4735840001637,775242706.6683869,0.9998593667177508,0.6535168156731205,256208.00000137024,8.803353815904964e-07,0.024511333435261035,0.008290787021367334,0.0007436554477049615,0.0003515233083725712,0.0004505137600009722
0.0025,682.4403560001637,759487192.5015134,0.99981068596612,0.640235177085539,251001.0000013569,8.98554133286196e-07,0.024763065622887135,0.008465472715741308,0.0003670364689694949,1.7971072550642443e-05,0.0002443667353160337
0.003,682.4108200001637,745955665.834669,0.9997674141868926,0.6288283232803413,246529.00000134547,9.148141789855523e-07,0.024985573914609677,0.008588018405849418,0.00027661452492835323,1.8296273095024387e-05,9.148138387058167e-06
0.0035,682.3886680001636,734357646.66785,0.9997349603524721,0.6190513844083997,242696.00000133563,9.292320589245638e-07,0.02518128730687745,0.008730813605031675,9.292254443333192e-05,0.00041242473034347807,0.0002060282621621371
0.004,682.3406720001636,723997193.3343806,0.9996646437112275,0.6103176931228459,239272.00000130263,9.424631452749599e-07,0.025359036532963883,0.00881776085638215,0.0003090056227639514,1.884925177693046e-05,9.424627841087576e-06
0.0045000000000000005,682.2963680001636,714399250.0009212,0.9995997360423865,0.6022267851912522,236100.00000120993,9.550631079179936e-07,0.025527159696096303,0.00894253451214633,0.0003531057326876564,1.9101250729895226e-05,9.550627370259066e-06
0.005,682.2668320001636,705872451.6674759,0.999556464263159,0.5950388348283168,233282.00000112757,9.665582363902303e-07,0.025679766615425974,0.00902907421047709,9.665510785057446e-05,0.0002937639104540085,0.0003160060331107709
0.0055,682.2336040001636,697766244.1673695,0.9995077835115282,0.5882054356010975,230603.00000104928,9.777394789486547e-07,0.0258272435791785,0.00914897209799907,9.777321541597477e-05,0.0004826221920384825,9.777390902286187e-06
0.006,682.2077600001636,690489115.0006073,0.9994699207047043,0.5820709357349301,228198.00000097897,9.880065379445751e-07,0.02596200117628117,0.009237597532694998,9.8799905824536e-05,0.0003333714778046228,0.0004254618467658507
0.006500000000000001,682.1634560001636,683759661.6671855,0.9994050130358632,0.5763981175634723,225974.00000091398,9.976655457224107e-07,0.026087750963220663,0.009312011362629156,9.976579185884216e-05,1.9953298442529414e-05,9.976651409894114e-06
