mass_window,threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01,optimized_systematic
none,0.9666678309440613,230.44356400005142,7261999.999999772,0.3376118305045161,0.006121746228111379,2399.9999999999363,3.173279592399596e-05,0.08551339801273736,0.08256789426651485,0.0031711973745927186,0.0
none,0.9727739095687866,194.9302160000426,5261924.166666644,0.2855829249559793,0.004435715287785823,1739.0000000000412,3.704542479629238e-05,0.08497754695995569,0.08282632622403777,0.0037010723009695433,0.0001
none,0.9921908974647522,32.78865200000236,305609.16666666674,0.04803708391480132,0.00025762348709969533,100.99999999999984,0.00010728949120745947,0.05931063974344978,0.059220301392993835,0.010557235577413997,0.01
125+/-0.25,0.9696126580238342,27.94844000000116,792768.3333333355,0.30495911050236935,0.004007832099369771,262.00000000000034,3.525423358232155e-05,0.031389317506789166,0.031265514932288116,0.003503351405285115,0.0
125+/-0.25,0.9696126580238342,27.94844000000116,792768.3333333355,0.30495911050236935,0.004007832099369771,262.00000000000034,3.525423358232155e-05,0.031389317506789166,0.031265514932288116,0.003503351405285115,0.0001
125+/-0.25,0.982792317867279,16.0343559999982,308635.00000000006,0.1749587076501435,0.0015603010463195253,101.99999999999982,5.195248756621316e-05,0.02886191703957726,0.0288171708365242,0.005112985553491103,0.01
125+/-0.5,0.9699137210845947,55.19909200000792,1485684.166666661,0.309128502015965,0.004067903331372548,490.9999999999949,3.715398820184963e-05,0.04528621218550366,0.04495327037933289,0.003702940607723967,0.0
125+/-0.5,0.9725580811500549,51.15266000000692,1276901.6666666663,0.2864674868190194,0.003496242781749942,421.9999999999977,4.005998373668053e-05,0.04526750893206363,0.04498130172819519,0.003990292536292941,0.0001
125+/-0.5,0.9868760108947754,22.0633919999997,308635.00000000006,0.1235604259278387,0.0008450634211812659,101.99999999999982,7.148700568632752e-05,0.039714081212036026,0.039652872644151814,0.007035463055294619,0.01
125+/-1,0.9699447751045227,103.0289520000198,2717198.3333333437,0.3144408888088223,0.004403925280394701,898.0000000000244,3.791734697320686e-05,0.06250228112979045,0.06166997570496045,0.003784700987540242,0.0
125+/-1,0.9710554480552673,99.99412800001905,2562880.833333336,0.30517870825263843,0.004153813711018153,847.0000000000168,3.901630021165074e-05,0.06246078913234314,0.061675563025712296,0.0038940329529469587,0.0001
125+/-1,0.9896172285079956,28.421016000001277,341919.1666666665,0.08673998287285736,0.0005541687713636961,112.99999999999962,8.312203225421591e-05,0.04860398291489554,0.048521134319436277,0.008193028640349433,0.01
125+/-2,0.9666509032249451,183.57362400003979,5549378.333333281,0.3488504255215411,0.006116350733028238,1834.0000000000261,3.3080034009822995e-05,0.0779265985753505,0.07585032678940562,0.0033051355652848166,0.0
125+/-2,0.9726567268371582,156.6700200000331,4051590.833333412,0.29772470550272545,0.004465536331256841,1339.00000000009,3.8668766527723175e-05,0.07783417204923357,0.0763038315302086,0.0038621815620249037,0.0001
125+/-2,0.991649866104126,31.644132000002077,305609.16666666674,0.06013428657625753,0.00033683283753318323,100.99999999999984,0.00010354444647439808,0.05724037952003755,0.05715305216722376,0.010188738764182954,0.01
125+/-5,0.9666678309440613,230.3808000000514,7261999.999999772,0.3376532020238301,0.00612746662445504,2399.9999999999363,3.172415312586872e-05,0.08549010756216438,0.08254536768944909,0.003169851356897638,0.0
125+/-5,0.9727739095687866,194.8822200000426,5261924.166666644,0.2856253889235223,0.0044398601916365,1739.0000000000412,3.703630341816534e-05,0.08495662379469417,0.08280582534660891,0.0037000418593510207,0.0001
125+/-5,0.9921908974647522,32.781268000002356,305609.16666666674,0.048045236871300225,0.0002578642204458244,100.99999999999984,0.0001072653296285365,0.059297283234135224,0.05920673968806342,0.010554861477673068,0.01
125+/-10,0.9666678309440613,230.44356400005142,7261999.999999772,0.3376118305045161,0.006121777458084764,2399.9999999999363,3.173279592399596e-05,0.08551339801273736,0.08256789426651485,0.0031711973745927186,0.0
125+/-10,0.9727739095687866,194.9302160000426,5261924.166666644,0.2855829249559793,0.004435737916504039,1739.0000000000412,3.704542479629238e-05,0.08497754695995569,0.08282632622403777,0.0037010723009695433,0.0001
125+/-10,0.9921908974647522,32.78865200000236,305609.16666666674,0.04803708391480132,0.0002576248013610753,100.99999999999984,0.00010728949120745947,0.05931063974344978,0.059220301392993835,0.010557235577413997,0.01
