mass_window,threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,background_neff,s_over_b,asimov_z_bkg_syst_0,asimov_z_bkg_syst_0.0001,asimov_z_bkg_syst_0.01
125+/-0.25,0.9986745,0.003692,0.0,4.0285219353019375e-05,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99830365,0.007384,0.0,8.057043870603875e-05,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9982096,0.011075999999999999,0.0,0.00012085565805905811,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99817586,0.014768,0.0,0.0001611408774120775,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9981547,0.01846,0.0,0.00020142609676509688,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9981218,0.022152,0.0,0.00024171131611811625,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9981133,0.025844000000000002,0.0,0.00028199653547113565,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9979405,0.029536000000000003,0.0,0.00032228175482415506,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9978022,0.033228,0.0,0.0003625669741771744,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99777526,0.03692,0.0,0.00040285219353019375,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9977476,0.040612,0.0,0.00044313741288321316,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9977354,0.044304,0.0,0.0004834226322362325,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9976732,0.047996000000000004,0.0,0.0005237078515892519,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99762326,0.051688000000000005,0.0,0.0005639930709422713,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99761826,0.055380000000000006,0.0,0.0006042782902952907,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9976025,0.059072000000000006,0.0,0.0006445635096483101,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9975777,0.062764,0.0,0.0006848487290013294,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9975746,0.066456,0.0,0.0007251339483543488,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99756867,0.070148,0.0,0.0007654191677073681,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9975575,0.07384,0.0,0.0008057043870603875,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9975375,0.077532,0.0,0.0008459896064134069,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9975172,0.081224,0.0,0.0008862748257664263,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9974928,0.084916,0.0,0.0009265600451194457,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99749196,0.088608,0.0,0.000966845264472465,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99743396,0.09230000000000001,0.0,0.0010071304838254844,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.997431,0.09599200000000001,0.0,0.0010474157031785038,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9974287,0.09968400000000001,0.0,0.0010877009225315232,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9974216,0.10337600000000001,0.0,0.0011279861418845426,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9974179,0.10706800000000001,0.0,0.001168271361237562,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9974164,0.11076000000000001,0.0,0.0012085565805905814,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99739885,0.11445200000000001,0.0,0.0012488417999436008,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.997391,0.11814400000000001,0.0,0.0012891270192966202,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99737954,0.12183600000000001,0.0,0.0013294122386496394,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9973502,0.125528,0.0,0.0013696974580026588,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99734396,0.12922,0.0,0.0014099826773556782,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9973418,0.132912,0.0,0.0014502678967086976,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9973212,0.136604,0.0,0.0014905531160617168,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99729604,0.140296,0.0,0.0015308383354147362,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9972198,0.143988,0.0,0.0015711235547677556,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9972059,0.14768,0.0,0.001611408774120775,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99717736,0.151372,0.0,0.0016516939934737944,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99716645,0.155064,0.0,0.0016919792128268138,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99714065,0.158756,0.0,0.0017322644321798332,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9971359,0.162448,0.0,0.0017725496515328526,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9971163,0.16614,0.0,0.001812834870885872,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99710387,0.173524,0.0,0.0018934053095919108,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9970964,0.177216,0.0,0.00193369052894493,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99708337,0.180908,0.0,0.0019739757482979494,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9970753,0.18460000000000001,0.0,0.002014260967650969,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9970559,0.18829200000000001,0.0,0.0020545461870039882,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99701947,0.19198400000000002,0.0,0.0020948314063570076,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99701524,0.19567600000000002,0.0,0.002135116625710027,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9970042,0.19936800000000002,0.0,0.0021754018450630464,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9969969,0.20306000000000002,0.0,0.002215687064416066,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99699104,0.20675200000000002,0.0,0.0022559722837690852,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99697864,0.21044400000000002,0.0,0.0022962575031221046,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996953,0.21413600000000002,0.0,0.002336542722475124,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99693644,0.21782800000000002,0.0,0.0023768279418281434,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9969304,0.22152000000000002,0.0,0.002417113161181163,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9969131,0.22521200000000002,0.0,0.0024573983805341823,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99688727,0.22890400000000002,0.0,0.0024976835998872017,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99685967,0.23259600000000002,0.0,0.002537968819240221,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99685884,0.23628800000000003,0.0,0.0025782540385932405,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968568,0.23998000000000003,0.0,0.00261853925794626,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99685186,0.24367200000000003,0.0,0.002658824477299279,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968458,0.24736400000000003,0.0,0.0026991096966522982,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968438,0.251056,0.0,0.0027393949160053176,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968425,0.254748,0.0,0.0027796801353583366,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99681467,0.25843999999999995,0.0,0.0028199653547113556,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968123,0.2621319999999999,0.0,0.0028602505740643745,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99681026,0.2658239999999999,0.0,0.002900535793417394,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968079,0.26951599999999987,0.0,0.002940821012770413,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968064,0.27320799999999984,0.0,0.002981106232123432,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9968045,0.2768999999999998,0.0,0.0030213914514764513,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99678814,0.2805919999999998,0.0,0.0030616766708294703,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9967679,0.28428399999999976,0.0,0.0031019618901824892,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996766,0.28797599999999973,0.0,0.003142247109535508,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99674845,0.2916679999999997,0.0,0.0031825323288885276,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9967378,0.2953599999999997,0.0,0.0032228175482415466,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99672794,0.29905199999999965,0.0,0.0032631027675945655,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9967174,0.3027439999999996,0.0,0.0033033879869475845,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966839,0.3064359999999996,0.0,0.003343673206300604,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99668014,0.31012799999999957,0.0,0.003383958425653623,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966718,0.31381999999999954,0.0,0.003424243645006642,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966702,0.3175119999999995,0.0,0.003464528864359661,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99664646,0.3212039999999995,0.0,0.00350481408371268,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966449,0.32489599999999946,0.0,0.003545099303065699,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966395,0.32858799999999944,0.0,0.003585384522418718,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99662423,0.3322799999999994,0.0,0.003625669741771737,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966241,0.3359719999999994,0.0,0.0036659549611247565,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966239,0.33966399999999936,0.0,0.0037062401804777755,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966162,0.34335599999999933,0.0,0.0037465253998307945,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99661404,0.3470479999999993,0.0,0.0037868106191838134,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99661225,0.3507399999999993,0.0,0.003827095838536833,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966101,0.35443199999999925,0.0,0.003867381057889852,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99660385,0.3581239999999992,0.0,0.003907666277242871,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9966018,0.3618159999999992,0.0,0.00394795149659589,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965946,0.36550799999999917,0.0,0.003988236715948909,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99656206,0.36919999999999914,0.0,0.004028521935301928,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996557,0.3728919999999991,0.0,0.0040688071546549475,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965522,0.3765839999999991,0.0,0.004109092374007966,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99655044,0.38027599999999906,0.0,0.0041493775933609854,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965485,0.38396799999999903,0.0,0.004189662812714005,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996548,0.387659999999999,0.0,0.004229948032067023,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965395,0.391351999999999,0.0,0.004270233251420043,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99652594,0.39504399999999895,0.0,0.004310518470773061,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965174,0.3987359999999989,0.0,0.004350803690126081,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965108,0.4024279999999989,0.0,0.0043910889094791,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9965095,0.40611999999999887,0.0,0.004431374128832119,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964988,0.40981199999999884,0.0,0.004471659348185138,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964824,0.4135039999999988,0.0,0.0045119445675381575,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964644,0.4171959999999988,0.0,0.004552229786891176,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964557,0.42088799999999876,0.0,0.004592515006244195,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99644536,0.42457999999999874,0.0,0.004632800225597214,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99644154,0.4282719999999987,0.0,0.004673085444950233,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964405,0.4319639999999987,0.0,0.004713370664303253,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9964144,0.43565599999999866,0.0,0.004753655883656271,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996398,0.43934799999999863,0.0,0.004793941103009291,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996396,0.4430399999999986,0.0,0.00483422632236231,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99639326,0.4467319999999986,0.0,0.004874511541715329,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99639267,0.45042399999999855,0.0,0.004914796761068348,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99638236,0.4541159999999985,0.0,0.0049550819804213666,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99637836,0.4578079999999985,0.0,0.004995367199774386,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9963638,0.46149999999999847,0.0,0.005035652419127405,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9963451,0.46519199999999844,0.0,0.005075937638480424,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996345,0.4688839999999984,0.0,0.005116222857833443,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99631447,0.4725759999999984,0.0,0.005156508077186463,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99630487,0.47626799999999836,0.0,0.005196793296539481,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9962931,0.47995999999999833,0.0,0.005237078515892501,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9962837,0.4873439999999983,0.0,0.005317648954598539,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9962787,0.49103599999999825,0.0,0.005357934173951558,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99627644,0.4947279999999982,0.0,0.0053982193933045765,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9962729,0.4984199999999982,0.0,0.005438504612657596,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9962535,0.5021119999999982,0.0,0.005478789832010615,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996238,0.5058039999999983,0.0,0.005519075051363636,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996229,0.5094959999999983,0.0,0.005559360270716655,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99622643,0.5131879999999983,0.0,0.005599645490069674,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99621564,0.5168799999999983,0.0,0.005639930709422695,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99620867,0.5205719999999984,0.0,0.005680215928775714,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99620795,0.5242639999999984,0.0,0.0057205011481287335,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961979,0.5279559999999984,0.0,0.005760786367481754,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961935,0.5316479999999985,0.0,0.005801071586834773,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961921,0.5353399999999985,0.0,0.0058413568061877925,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99619126,0.5390319999999985,0.0,0.005881642025540813,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99619114,0.5427239999999985,0.0,0.005921927244893832,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961753,0.5464159999999986,0.0,0.005962212464246852,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961739,0.5501079999999986,0.0,0.006002497683599872,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961725,0.5537999999999986,0.0,0.006042782902952891,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961689,0.5574919999999987,0.0,0.006083068122305911,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99616575,0.5611839999999987,0.0,0.006123353341658931,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99616396,0.5648759999999987,0.0,0.00616363856101195,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99615437,0.5685679999999987,0.0,0.00620392378036497,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99614835,0.5722599999999988,0.0,0.00624420899971799,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961481,0.5759519999999988,0.0,0.0062844942190710094,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961474,0.5796439999999988,0.0,0.006324779438424029,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961414,0.5833359999999989,0.0,0.006365064657777049,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961408,0.5870279999999989,0.0,0.0064053498771300685,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961383,0.5907199999999989,0.0,0.006445635096483088,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961332,0.5944119999999989,0.0,0.006485920315836108,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99612975,0.598103999999999,0.0,0.006526205535189128,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961224,0.601795999999999,0.0,0.006566490754542147,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9961164,0.605487999999999,0.0,0.006606775973895167,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996102,0.6091799999999991,0.0,0.006647061193248187,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960975,0.6128719999999991,0.0,0.006687346412601206,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960759,0.6165639999999991,0.0,0.006727631631954226,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99607015,0.6202559999999991,0.0,0.006767916851307246,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960663,0.6239479999999992,0.0,0.006808202070660265,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996055,0.6276399999999992,0.0,0.0068484872900132845,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99605465,0.6313319999999992,0.0,0.006888772509366305,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99605197,0.6350239999999993,0.0,0.006929057728719324,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960496,0.6387159999999993,0.0,0.006969342948072344,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960492,0.6424079999999993,0.0,0.007009628167425364,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960478,0.6460999999999993,0.0,0.007049913386778383,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99603856,0.6497919999999994,0.0,0.007090198606131403,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9960259,0.6534839999999994,0.0,0.007130483825484423,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99601114,0.6571759999999994,0.0,0.007170769044837442,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.996009,0.6608679999999995,0.0,0.007211054264190462,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9959875,0.6645599999999995,0.0,0.007251339483543482,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9959805,0.6682519999999995,0.0,0.0072916247028965014,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99595934,0.6719439999999995,0.0,0.007331909922249521,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9959565,0.6756359999999996,0.0,0.007372195141602541,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.99594146,0.6793279999999996,0.0,0.0074124803609555605,0.0,0.0,,0.0,0.0,0.0
125+/-0.25,0.9959402,0.6830199999999996,0.0,0.00745276558030858,0.0,0.0,,0.0,0.0,0.0
