removed_feature,importance_rank_by_delta_auc,validation_auc,delta_auc,eps_b_at_eps_s_70,delta_eps_b_70,background_rejection_at_eps_s_70
leading_c2_beta_0p2,1,0.93738778835,0.0015138274000001,0.059,0.0017999999999999,16.949152542372882
subleading_c2_beta_0p2,2,0.93792748525,0.0009741304999999,0.05865,0.00145,17.050298380221655
subleading_jet_theta,3,0.9379434277,0.00095818805,0.058,0.0008,17.241379310344826
leading_jet_theta,4,0.9380649445,0.00083667125,0.05781,0.0006099999999999,17.298045320878742
event_invariant_mass,5,0.93824030715,0.0006613086000001,0.05843,0.00123,17.114495978093444
leading_constituent_multiplicity,6,0.9384368896,0.0004647261500001,0.0577,0.0005,17.33102253032929
leading_e2_beta_0p2,7,0.93855007855,0.0003515372,0.05758,0.0003799999999999,17.36714136853074
n_jets_original,8,0.93877293305,0.0001286826999999,0.05764,0.0004399999999999,17.34906315058987
subleading_jet_p,9,0.93883713195,6.448380000001475e-05,0.05792,0.0007199999999999,17.265193370165747
subleading_constituent_multiplicity,10,0.9388406571,6.095864999999812e-05,0.05768,0.00048,17.337031900138694
subleading_e3_beta_0p2,11,0.93885557275,4.6042999999995615e-05,0.05711,-8.99999999999998e-05,17.51006828926633
subleading_e2_beta_0p2,12,0.9388925121,9.10365000006408e-06,0.05764,0.0004399999999999,17.34906315058987
subleading_jet_pt,13,0.9389497043,-4.808854999993617e-05,0.05725,5.000000000000143e-05,17.46724890829694
leading_jet_pt,14,0.93895445075,-5.28349999998623e-05,0.05715,-5.000000000000143e-05,17.497812773403325
subleading_jet_energy,15,0.93895603895,-5.442319999993117e-05,0.05734,0.00014,17.439832577607255
leading_jet_mass,16,0.93900339325,-0.0001017774999998,0.05716,-3.999999999999837e-05,17.49475157452764
subleading_jet_mass,17,0.93902335975,-0.0001217439999998,0.05743,0.00023,17.41250217656277
subleading_d2_beta_0p2,18,0.9390361188999998,-0.0001345031499997,0.0573,9.999999999999593e-05,17.452006980802793
leading_jet_p,19,0.9390791489,-0.0001775331499997,0.05741,0.00021,17.418568193694476
leading_e3_beta_0p2,20,0.93914266665,-0.0002410508999999,0.05704,-0.00016,17.53155680224404
leading_d2_beta_0p2,21,0.9391688393,-0.0002672235499999,0.05687,-0.00033,17.583963425356075
leading_jet_energy,22,0.93926387815,-0.0003622623999999,0.05706,-0.00014,17.525411847178407
