removed_feature,importance_rank_by_delta_auc,validation_auc,delta_auc,eps_b_at_eps_s_70,delta_eps_b_70,background_rejection_at_eps_s_70
leading_c2_beta_0p2,1,0.93738778835,0.0015138274000001,0.059,0.0017999999999999,16.949152542372882
subleading_c2_beta_0p2,2,0.93792748525,0.0009741304999999,0.05865,0.00145,17.050298380221655
subleading_jet_theta,3,0.9379434277,0.00095818805,0.058,0.0008,17.241379310344826
leading_jet_theta,4,0.9380649445,0.00083667125,0.05781,0.0006099999999999,17.298045320878742
event_invariant_mass,5,0.93824030715,0.0006613086000001,0.05843,0.00123,17.114495978093444
leading_constituent_multiplicity,6,0.9384368896,0.0004647261500001,0.0577,0.0005,17.33102253032929
leading_e2_beta_0p2,7,0.93855007855,0.0003515372,0.05758,0.0003799999999999,17.36714136853074
n_jets_original,8,0.93877293305,0.0001286826999999,0.05764,0.0004399999999999,17.34906315058987
subleading_jet_p,9,0.93883713195,6.448380000001475e-05,0.05792,0.0007199999999999,17.265193370165747
subleading_constituent_multiplicity,10,0.9388406571,6.095864999999812e-05,0.05768,0.00048,17.337031900138694
