model,target_signal_efficiency,threshold,signal_efficiency,background_efficiency,background_rejection_factor
Final wide NN,0.5,0.9067,0.5002188988038937,0.021100591746200388,47.39203582667635
Final wide NN,0.7,0.8003,0.7003140251976845,0.05413826480706316,18.47122370034909
Final wide NN,0.8,0.69,0.8001102601382576,0.08813110868771278,11.346731192766894
Final wide NN,0.9,0.4883,0.9000145932535929,0.1608288022311156,6.217791752020707
BDT,0.5,0.8954469477421508,0.5000027024543691,0.024157649156052948,41.39475631673538
BDT,0.7,0.78128910536317,0.7000005404908738,0.06073251896933493,16.465643397813288
BDT,0.8,0.6620092784774265,0.8000021619634953,0.0981425247667621,10.189263037368587
BDT,0.9,0.4427708023891876,0.9000037834361166,0.1780550781120308,5.616239708540119
ParticleNet,0.5,0.7964,0.5,0.0496,20.161290322580644
ParticleNet,0.7,0.6865,0.7002,0.1056,9.46969696969697
ParticleNet,0.8,0.6035,0.8,0.159,6.289308176100628
ParticleNet,0.9,0.464,0.9,0.263,3.8022813688212924
