configuration,n_features,parameters,best_epoch,validation_auc,validation_ap,eps_b_at_eps_s_50,eps_b_at_eps_s_70,eps_b_at_eps_s_80,eps_b_at_eps_s_90,removed_feature,delta_auc,delta_ap,delta_eps_b_50,delta_eps_b_70,delta_eps_b_80,delta_eps_b_90
all_22_features,22,48001,34,0.9389016157500001,0.9320852847196203,0.02216,0.0572,0.09534,0.1726,,0.0,0.0,0.0,0.0,0.0,0.0
without_event_invariant_mass,21,47745,39,0.93824030715,0.9314739911131051,0.02269,0.05843,0.09678,0.17364,event_invariant_mass,0.0006613086000001323,0.0006112936065151287,0.0005299999999999992,0.001230000000000002,0.0014400000000000107,0.0010399999999999854
without_n_jets_original,21,47745,39,0.9387729330500001,0.9320709851052629,0.02213,0.05764,0.09601,0.1733,n_jets_original,0.0001286826999999935,1.4299614357393686e-05,-2.9999999999998778e-05,0.00043999999999999595,0.0006700000000000039,0.0007000000000000062
without_leading_jet_energy,21,47745,49,0.93926387815,0.9325295783835104,0.02188,0.05706,0.09483,0.17115,leading_jet_energy,-0.00036226239999992416,-0.00044429366389009406,-0.000279999999999999,-0.00014000000000000123,-0.0005099999999999966,-0.0014500000000000068
without_subleading_jet_energy,21,47745,39,0.93895603895,0.9321351264458527,0.02211,0.05734,0.09533,0.17212,subleading_jet_energy,-5.442319999993117e-05,-4.984172623245797e-05,-4.999999999999796e-05,0.00014000000000000123,-9.999999999996123e-06,-0.0004800000000000082
without_leading_jet_mass,21,47745,49,0.9390033932499999,0.9321733210748933,0.02224,0.05716,0.09605,0.17192,leading_jet_mass,-0.00010177749999984442,-8.803635527299125e-05,8.000000000000021e-05,-3.999999999999837e-05,0.0007100000000000023,-0.0006800000000000139
without_subleading_jet_mass,21,47745,49,0.93902335975,0.9321362637207954,0.02251,0.05743,0.09515,0.17183,subleading_jet_mass,-0.00012174399999986818,-5.097900117512211e-05,0.0003499999999999996,0.00023000000000000104,-0.00018999999999999573,-0.0007699999999999929
without_leading_constituent_multiplicity,21,47745,37,0.9384368895999999,0.9316768615200149,0.02258,0.0577,0.09616,0.17367,leading_constituent_multiplicity,0.00046472615000014983,0.00040842319960532336,0.00042000000000000023,0.0005000000000000004,0.0008200000000000013,0.0010699999999999876
without_subleading_constituent_multiplicity,21,47745,49,0.9388406571000001,0.93218730061263,0.02206,0.05768,0.09619,0.17259,subleading_constituent_multiplicity,6.0958649999998116e-05,-0.00010201589300973257,-9.99999999999994e-05,0.00048000000000000126,0.0008500000000000035,-1.0000000000010001e-05
without_leading_e2_beta_0p2,21,47745,37,0.93855007855,0.9317861505556883,0.02236,0.05758,0.09659,0.17351,leading_e2_beta_0p2,0.0003515372000000294,0.0002991341639320133,0.00020000000000000226,0.0003799999999999984,0.0012500000000000011,0.0009099999999999941
without_subleading_e2_beta_0p2,21,47745,47,0.9388925121,0.9320716394361978,0.022,0.05764,0.09512,0.17178,subleading_e2_beta_0p2,9.103650000064079e-06,1.3645283422514254e-05,-0.00016000000000000042,0.00043999999999999595,-0.00021999999999999797,-0.0008200000000000152
without_leading_e3_beta_0p2,21,47745,49,0.93914266665,0.9324557334838276,0.02191,0.05704,0.09537,0.17159,leading_e3_beta_0p2,-0.00024105089999992835,-0.00037044876420733175,-0.0002500000000000002,-0.00016000000000000042,3.0000000000002247e-05,-0.0010100000000000109
without_subleading_e3_beta_0p2,21,47745,38,0.9388555727500001,0.9321552430620329,0.02212,0.05711,0.09561,0.1728,subleading_e3_beta_0p2,4.6042999999995615e-05,-6.995834241263488e-05,-3.999999999999837e-05,-8.99999999999998e-05,0.00027000000000000635,0.00020000000000000573
without_leading_jet_pt,21,47745,39,0.93895445075,0.9322940317723628,0.02186,0.05715,0.09542,0.17276,leading_jet_pt,-5.28349999998623e-05,-0.00020874705274254168,-0.0002999999999999982,-5.000000000000143e-05,8.000000000001062e-05,0.00015999999999999348
without_subleading_jet_pt,21,47745,38,0.9389497043,0.932297390906478,0.02217,0.05725,0.09504,0.17174,subleading_jet_pt,-4.808854999993617e-05,-0.00021210618685774119,9.999999999999593e-06,5.000000000000143e-05,-0.0002999999999999947,-0.0008599999999999997
without_leading_jet_p,21,47745,47,0.9390791488999999,0.9323285052740519,0.02204,0.05741,0.09506,0.17187,leading_jet_p,-0.00017753314999979786,-0.00024322055443160018,-0.00011999999999999858,0.00021000000000000185,-0.0002799999999999886,-0.0007300000000000084
without_subleading_jet_p,21,47745,38,0.9388371319500001,0.9321603626311886,0.02241,0.05792,0.09534,0.17242,subleading_jet_p,6.448380000001475e-05,-7.50779115683553e-05,0.0002500000000000002,0.0007199999999999984,0.0,-0.00018000000000001348
without_leading_c2_beta_0p2,21,47745,22,0.9373877883499999,0.930289527425949,0.02312,0.059,0.09813,0.17618,leading_c2_beta_0p2,0.0015138274000001672,0.0017957572936713184,0.0009600000000000025,0.001799999999999996,0.002790000000000001,0.00358
without_subleading_c2_beta_0p2,21,47745,38,0.9379274852500001,0.9304902786568594,0.02348,0.05865,0.09711,0.174,subleading_c2_beta_0p2,0.0009741304999999478,0.001595006062760862,0.0013200000000000017,0.00145,0.0017700000000000077,0.0013999999999999846
without_leading_d2_beta_0p2,21,47745,44,0.9391688393000001,0.932432460758121,0.02242,0.05687,0.09504,0.17124,leading_d2_beta_0p2,-0.0002672235499999731,-0.00034717603850076273,0.0002599999999999998,-0.0003300000000000039,-0.0002999999999999947,-0.00136
without_subleading_d2_beta_0p2,21,47745,47,0.9390361188999998,0.9322472429269699,0.02221,0.0573,0.09531,0.1717,subleading_d2_beta_0p2,-0.0001345031499997429,-0.00016195820734965505,5.000000000000143e-05,9.999999999999593e-05,-2.999999999998837e-05,-0.0009000000000000119
without_leading_jet_theta,21,47745,44,0.9380649445,0.9314090224708844,0.02283,0.05781,0.09702,0.17467,leading_jet_theta,0.0008366712500000872,0.0006762622487358483,0.0006700000000000005,0.0006099999999999994,0.001680000000000001,0.0020699999999999885
without_subleading_jet_theta,21,47745,36,0.9379434277,0.9313435994712345,0.02262,0.058,0.09723,0.1748,subleading_jet_theta,0.0009581880500000306,0.0007416852483858039,0.0004600000000000021,0.0008000000000000021,0.0018900000000000028,0.0022000000000000075
