architecture,hidden_layers,dropout,parameters,best_epoch,training_time_seconds,validation_auc,validation_ap,eps_s_50,eps_b_at_eps_s_50,background_rejection_at_eps_s_50,threshold_at_eps_s_50,eps_s_70,eps_b_at_eps_s_70,background_rejection_at_eps_s_70,threshold_at_eps_s_70,eps_s_80,eps_b_at_eps_s_80,background_rejection_at_eps_s_80,threshold_at_eps_s_80,eps_s_90,eps_b_at_eps_s_90,background_rejection_at_eps_s_90,threshold_at_eps_s_90,seed
baseline,128-64-32,0.15,13761,57,159.4394931793213,0.93882343655,0.9321717356171748,0.50001,0.02207,45.31037607612144,0.9008099436759948,0.7,0.05701,17.540782318891424,0.793309211730957,0.8,0.09511,10.514141520344864,0.6915373802185059,0.90001,0.17294,5.782352260899733,0.4847310483455658,42
baseline,128-64-32,0.15,13761,59,158.94090485572815,0.93884136625,0.9321914315955212,0.50001,0.02238,44.68275245755138,0.9025890827178956,0.69997,0.05732,17.445917655268666,0.7909759283065796,0.8,0.09496,10.530749789385004,0.682677149772644,0.9,0.1715,5.830903790087463,0.4833051860332489,43
baseline,128-64-32,0.15,13761,47,151.10112047195437,0.93850444935,0.9318120096242,0.50002,0.02224,44.96402877697842,0.9059813618659972,0.69998,0.05708,17.51927119831815,0.7998814582824707,0.8,0.09493,10.534077741493732,0.6904225945472717,0.9,0.17359,5.760700501180944,0.4794986248016357,44
baseline,128-64-32,0.15,13761,43,136.25166726112366,0.93862692905,0.9318608937881316,0.49995,0.02234,44.76275738585497,0.8970437049865723,0.69999,0.05755,17.37619461337967,0.7838214039802551,0.8,0.0952,10.504201680672267,0.6730620861053467,0.9,0.1733,5.770340450086555,0.4659691751003265,45
baseline,128-64-32,0.15,13761,37,118.67779088020325,0.93838385095,0.9315749725982564,0.49989,0.02252,44.40497335701599,0.8948142528533936,0.69997,0.05773,17.322016282695305,0.7864497303962708,0.80001,0.09607,10.409076714895388,0.6782018542289734,0.9,0.17336,5.7683433317951085,0.4683858454227447,46
very_deep,256-256-128-64-32,0.2,116417,52,160.85265731811523,0.93925771155,0.9325025130191928,0.5,0.02222,45.00450045004501,0.8983840346336365,0.70002,0.05675,17.621145374449338,0.7854283452033997,0.8,0.09422,10.613457864572275,0.6842424273490906,0.9,0.1709,5.851375073142188,0.4703167974948883,42
very_deep,256-256-128-64-32,0.2,116417,46,140.20453119277954,0.93914747385,0.9323377280775692,0.49991,0.02224,44.96402877697842,0.9048473238945008,0.70001,0.05732,17.445917655268666,0.7998599410057068,0.80003,0.09473,10.556317956296844,0.6892514824867249,0.89999,0.17031,5.871645822323998,0.4735054969787597,43
very_deep,256-256-128-64-32,0.2,116417,38,119.47350597381592,0.93880352825,0.9320299588539336,0.50005,0.02253,44.38526409232135,0.9098736047744752,0.69995,0.05737,17.43071291615827,0.7995818853378296,0.80004,0.0954,10.482180293501049,0.6862464547157288,0.9,0.17186,5.818689631095077,0.4700080156326294,44
very_deep,256-256-128-64-32,0.2,116417,40,133.0541615486145,0.93907767725,0.9322721365274872,0.5,0.02234,44.76275738585497,0.9152143001556396,0.7,0.05699,17.54693805930865,0.805371880531311,0.79998,0.09501,10.52520787285549,0.6982879042625427,0.89999,0.17257,5.794749956539375,0.4749691188335418,45
very_deep,256-256-128-64-32,0.2,116417,37,119.32383108139038,0.9390001017,0.9321251126712072,0.50009,0.02232,44.80286738351255,0.8982603549957275,0.70002,0.05731,17.448961786773687,0.7857071161270142,0.8,0.09517,10.507512871703268,0.6828407645225525,0.90001,0.17221,5.806863712908658,0.4725334346294403,46
wide,256-128-64,0.15,48001,34,113.72889637947084,0.93890161575,0.9320852847196204,0.50001,0.02216,45.12635379061372,0.8960171937942505,0.69999,0.0572,17.482517482517483,0.7806666493415833,0.80002,0.09534,10.488777008600795,0.6645008325576782,0.9,0.1726,5.793742757821553,0.4527522325515747,42
wide,256-128-64,0.15,48001,32,105.00750470161438,0.93875175425,0.9319507456128376,0.50001,0.02229,44.86316733961417,0.9001057147979736,0.7,0.0577,17.33102253032929,0.7889074087142944,0.8,0.09591,10.426441455531227,0.672045111656189,0.9,0.17227,5.804841237592152,0.4587378203868866,43
wide,256-128-64,0.15,48001,41,132.7056486606598,0.93904099605,0.9322873174875324,0.49994,0.02228,44.88330341113106,0.9044818878173828,0.69998,0.05723,17.473353136466887,0.7968837022781372,0.8,0.09486,10.541851149061776,0.6885511875152588,0.89999,0.17248,5.797773654916512,0.4811751842498779,44
wide,256-128-64,0.15,48001,47,149.96740341186523,0.9392642061,0.9324898620639848,0.49997,0.02213,45.187528242205154,0.904521942138672,0.69999,0.05716,17.49475157452764,0.7933711409568787,0.8,0.09434,10.5999576001696,0.6790174841880798,0.89999,0.17146,5.832264084917765,0.4596348404884338,45
wide,256-128-64,0.15,48001,39,122.31338596343994,0.938885827,0.9321563943679956,0.50006,0.02226,44.923629829290206,0.9033777117729188,0.70002,0.05741,17.418568193694476,0.7920379042625427,0.80001,0.09494,10.532968190436064,0.6783385872840881,0.9,0.17232,5.8031569173630455,0.4756125211715698,46
